#queryIndex	queryItem	stringId	preferredName	annotation
11	ALDH1L1	9606.ENSP00000273450	ALDH1L1	Cytosolic 10-formyltetrahydrofolate dehydrogenase; Aldehyde dehydrogenase 1 family member L1; In the N-terminal section; belongs to the GART family
12	GATM	9606.ENSP00000379895	GATM	Glycine amidinotransferase, mitochondrial; Catalyzes the biosynthesis of guanidinoacetate, the immediate precursor of creatine. Creatine plays a vital role in energy metabolism in muscle tissues. May play a role in embryonic and central nervous system development. May be involved in the response to heart failure by elevating local creatine synthesis; Belongs to the amidinotransferase family
13	ABAT	9606.ENSP00000379845	ABAT	4-aminobutyrate aminotransferase, mitochondrial; Catalyzes the conversion of gamma-aminobutyrate and L- beta-aminoisobutyrate to succinate semialdehyde and methylmalonate semialdehyde, respectively. Can also convert delta-aminovalerate and beta-alanine; Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family
14	GFER	9606.ENSP00000248114	GFER	Growth factor, augmenter of liver regeneration; FAD-linked sulfhydryl oxidase ALR; Isoform 1: FAD-dependent sulfhydryl oxidase that regenerates the redox-active disulfide bonds in CHCHD4/MIA40, a chaperone essential for disulfide bond formation and protein folding in the mitochondrial intermembrane space. The reduced form of CHCHD4/MIA40 forms a transient intermolecular disulfide bridge with GFER/ERV1, resulting in regeneration of the essential disulfide bonds in CHCHD4/MIA40, while GFER/ERV1 becomes re- oxidized by donating electrons to cytochrome c or molecular oxygen
15	AGK	9606.ENSP00000347581	AGK	Acylglycerol kinase, mitochondrial; Lipid kinase that can phosphorylate both monoacylglycerol and diacylglycerol to form lysophosphatidic acid (LPA) and phosphatidic acid (PA), respectively. Does not phosphorylate sphingosine. Independently of its lipid kinase activity, acts as a component of the TIM22 complex. The TIM22 complex mediates the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane by forming a twin-pore translocase that uses the membrane potential as the external driving force. In the TIM22 complex, required for the import of a su [...] 
16	GLDC	9606.ENSP00000370737	GLDC	Glycine dehydrogenase (decarboxylating), mitochondrial; The glycine cleavage system catalyzes the degradation of glycine. The P protein (GLDC) binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor; CO(2) is released and the remaining methylamine moiety is then transferred to the lipoamide cofactor of the H protein (GCSH)
17	GLS	9606.ENSP00000317379	GLS	Glutaminase kidney isoform, mitochondrial; Catalyzes the first reaction in the primary pathway for the renal catabolism of glutamine. Plays a role in maintaining acid-base homeostasis. Regulates the levels of the neurotransmitter glutamate in the brain. Isoform 2 lacks catalytic activity; Ankyrin repeat domain containing
18	GLUD2	9606.ENSP00000327589	GLUD2	Glutamate dehydrogenase 2, mitochondrial; Important for recycling the chief excitatory neurotransmitter, glutamate, during neurotransmission; Belongs to the Glu/Leu/Phe/Val dehydrogenases family
19	COMT	9606.ENSP00000354511	COMT	Catechol O-methyltransferase; Catalyzes the O-methylation, and thereby the inactivation, of catecholamine neurotransmitters and catechol hormones. Also shortens the biological half-lives of certain neuroactive drugs, like L-DOPA, alpha-methyl DOPA and isoproterenol; Seven-beta-strand methyltransferase motif containing
20	GPAT2	9606.ENSP00000389395	GPAT2	Glycerol-3-phosphate acyltransferase 2, mitochondrial; Esterifies acyl-group from acyl-ACP to the sn-1 position of glycerol-3-phosphate, an essential step in glycerolipid biosynthesis. Required for primary processing step during piRNA biosynthesis. Molecular mechanisms by which it promotes piRNA biosynthesis are unclear and do not involve its acyltransferase activity; Belongs to the GPAT/DAPAT family
21	HCCS	9606.ENSP00000326579	HCCS	Cytochrome c-type heme lyase; Links covalently the heme group to the apoprotein of cytochrome c
22	AADAT	9606.ENSP00000423190	AADAT	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial; Transaminase with broad substrate specificity. Has transaminase activity towards aminoadipate, kynurenine, methionine and glutamate. Shows activity also towards tryptophan, aspartate and hydroxykynurenine. Accepts a variety of oxo-acids as amino- group acceptors, with a preference for 2-oxoglutarate, 2- oxocaproic acid, phenylpyruvate and alpha-oxo-gamma-methiol butyric acid. Can also use glyoxylate as amino-group acceptor (in vitro)
23	IDI1	9606.ENSP00000370748	IDI1	Isopentenyl-diphosphate Delta-isomerase 1; Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its highly electrophilic allylic isomer, dimethylallyl diphosphate (DMAPP)
24	ACP6	9606.ENSP00000463574	ACP6	Lysophosphatidic acid phosphatase type 6; Hydrolyzes lysophosphatidic acid (LPA) containing a medium length fatty acid chain to the corresponding monoacylglycerol. Has highest activity with lysophosphatidic acid containing myristate (C14:0), monounsaturated oleate (C18:1) or palmitate (C16:0), and lower activity with C18:0 and C6:0 lysophosphatidic acid
25	KYAT3	9606.ENSP00000260508	CCBL2	Kynurenine---oxoglutarate transaminase / cysteine-s-conjugate beta-lyase / glutamine---phenylpyruvate transaminase; Kynurenine--oxoglutarate transaminase 3; Catalyzes the irreversible transamination of the L- tryptophan metabolite L-kynurenine to form kynurenic acid (KA). May catalyze the beta-elimination of S-conjugates and Se- conjugates of L-(seleno)cysteine, resulting in the cleavage of the C-S or C-Se bond (By similarity). Has transaminase activity towards L-kynurenine, tryptophan, phenylalanine, serine, cysteine, methionine, histidine, glutamine and asparagine with glyoxylate as  [...] 
26	CA5A	9606.ENSP00000309649	CA5A	Carbonic anhydrase 5A, mitochondrial; Reversible hydration of carbon dioxide. Low activity; Carbonic anhydrases
27	LIPT2	9606.ENSP00000309463	LIPT2	Putative lipoyltransferase 2, mitochondrial; Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes, which catalyze essential redox reactions. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate (By similarity); Belongs to the LipB family
28	LIPT2	9606.ENSP00000309463	LIPT2	Putative lipoyltransferase 2, mitochondrial; Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes, which catalyze essential redox reactions. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate (By similarity); Belongs to the LipB family
29	AGPAT4	9606.ENSP00000314036	AGPAT4	1-acyl-sn-glycerol-3-phosphate acyltransferase delta; Converts lysophosphatidic acid (LPA) into phosphatidic acid by incorporating an acyl moiety at the sn-2 position of the glycerol backbone; Belongs to the 1-acyl-sn-glycerol-3-phosphate acyltransferase family
30	MAOB	9606.ENSP00000367309	MAOB	Amine oxidase [flavin-containing] B; Catalyzes the oxidative deamination of biogenic and xenobiotic amines and has important functions in the metabolism of neuroactive and vasoactive amines in the central nervous system and peripheral tissues. MAOB preferentially degrades benzylamine and phenylethylamine
31	GOT2	9606.ENSP00000245206	GOT2	Aspartate aminotransferase, mitochondrial; Catalyzes the irreversible transamination of the L- tryptophan metabolite L-kynurenine to form kynurenic acid (KA). Plays a key role in amino acid metabolism. Important for metabolite exchange between mitochondria and cytosol. Facilitates cellular uptake of long-chain free fatty acids; Belongs to the class-I pyridoxal-phosphate-dependent aminotransferase family
32	MGME1	9606.ENSP00000366939	MGME1	Mitochondrial genome maintenance exonuclease 1; Metal-dependent single-stranded DNA (ssDNA) exonuclease involved in mitochondrial genome maintenance. Has preference for 5'-3' exonuclease activity but is also capable of endoduclease activity on linear substrates. Necessary for maintenance of proper 7S DNA levels. Probably involved in mitochondrial DNA (mtDNA) repair, possibly via the processing of displaced DNA containing Okazaki fragments during RNA-primed DNA synthesis on the lagging strand or via processing of DNA flaps during long-patch base excision repair. Specifically binds 5-hyd [...] 
33	ALKBH1	9606.ENSP00000216489	ALKBH1	Nucleic acid dioxygenase ALKBH1; Dioxygenase that acts as on nucleic acids, such as DNA and tRNA. Requires molecular oxygen, alpha-ketoglutarate and iron. A number of activities have been described for this dioxygenase, but recent results suggest that it mainly acts as on tRNAs and mediates their demethylation or oxidation depending on the context and subcellular compartment. Mainly acts as a tRNA demethylase by removing N(1)-methyladenine from various tRNAs, with a preference for N(1)-methyladenine at position 58 (m1A58) present on a stem loop structure of tRNAs. Acts as a regulator o [...] 
34	MICOS13	9606.ENSP00000309561	C19orf70	Mitochondrial contact site and cristae organizing system subunit 13; MICOS complex subunit MIC13; Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane. Constituent of mature MICOS complex, it is required for the formation of cristae junction (CJ) and maintenance of cristae morphology. Required for the incorporation of MINOS1/MIC10 into the MICOS complex
40	MT-ATP6	9606.ENSP00000354632	MT-ATP6	ATP synthase subunit a; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subuni [...] 
41	MT-ATP8	9606.ENSP00000355265	MT-ATP8	Mitochondrially encoded atp synthase membrane subunit 8; ATP synthase protein 8; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is c [...] 
43	MT-CO1	9606.ENSP00000354499	MT-CO1	Mitochondrially encoded cytochrome c oxidase i; Cytochrome c oxidase subunit 1; Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B
44	MT-CO2	9606.ENSP00000354876	MT-CO2	Mitochondrially encoded cytochrome c oxidase ii; Cytochrome c oxidase subunit 2; Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. Subunit 2 transfers the electrons from cytochrome c via its binuclear copper A center to the bimetallic center of the catalytic subunit 1
45	MT-CO3	9606.ENSP00000354982	MT-CO3	Cytochrome c oxidase subunit 3; Subunits I, II and III form the functional core of the enzyme complex; Mitochondrial complex IV: cytochrome c oxidase subunits
50	MT-CYB	9606.ENSP00000354554	MT-CYB	Cytochrome b; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex) that is part of the mitochondrial respiratory chain. The b-c1 complex mediates electron transfer from ubiquinol to cytochrome c. Contributes to the generation of a proton gradient across the mitochondrial membrane that is then used for ATP synthesis
69	MT-ND1	9606.ENSP00000354687	MT-ND1	NADH-ubiquinone oxidoreductase chain 1; Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity); NADH:ubiquinone oxidoreductase core subunits
70	MT-ND2	9606.ENSP00000355046	MT-ND2	NADH-ubiquinone oxidoreductase chain 2; Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity); NADH:ubiquinone oxidoreductase core subunits
71	MT-ND3	9606.ENSP00000355206	MT-ND3	Mitochondrially encoded nadh:ubiquinone oxidoreductase core subunit 3; NADH-ubiquinone oxidoreductase chain 3; Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity)
72	MT-ND4	9606.ENSP00000354961	MT-ND4	Mitochondrially encoded nadh:ubiquinone oxidoreductase core subunit 4; NADH-ubiquinone oxidoreductase chain 4; Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity)
73	MT-ND4L	9606.ENSP00000354728	MT-ND4L	Mitochondrially encoded nadh:ubiquinone oxidoreductase core subunit 4l; NADH-ubiquinone oxidoreductase chain 4L; Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity)
74	MT-ND5	9606.ENSP00000354813	MT-ND5	NADH-ubiquinone oxidoreductase chain 5; Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity); NADH:ubiquinone oxidoreductase core subunits
75	MT-ND6	9606.ENSP00000354665	MT-ND6	NADH-ubiquinone oxidoreductase chain 6; Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity); NADH:ubiquinone oxidoreductase core subunits
80	MT-RNR2	9606.ENSP00000439666	MTRNR2L8	MT-RNR2 like 8; Plays a role as a neuroprotective and antiapoptotic factor; Belongs to the humanin family
97	MT-TK	9606.ENSP00000299697	TK2	Thymidine kinase 2, mitochondrial; Phosphorylates thymidine, deoxycytidine, and deoxyuridine in the mitochondrial matrix. In non-replicating cells, where cytosolic dNTP synthesis is down-regulated, mtDNA synthesis depends solely on TK2 and DGUOK. Widely used as target of antiviral and chemotherapeutic agents; Belongs to the DCK/DGK family
111	MMUT	9606.ENSP00000274813	MUT	Methylmalonyl-CoA mutase, mitochondrial; Involved in the degradation of several amino acids, odd- chain fatty acids and cholesterol via propionyl-CoA to the tricarboxylic acid cycle. MCM has different functions in other species; Belongs to the methylmalonyl-CoA mutase family
112	GLRX2	9606.ENSP00000356410	GLRX2	Glutaredoxin-2, mitochondrial; Glutathione-dependent oxidoreductase that facilitates the maintenance of mitochondrial redox homeostasis upon induction of apoptosis by oxidative stress. Involved in response to hydrogen peroxide and regulation of apoptosis caused by oxidative stress. Acts as a very efficient catalyst of monothiol reactions because of its high affinity for protein glutathione-mixed disulfides. Can receive electrons not only from glutathione (GSH), but also from thioredoxin reductase supporting both monothiol and dithiol reactions. Efficiently catalyzes both glutathionylat [...] 
114	MT-ATP8	9606.ENSP00000355265	MT-ATP8	Mitochondrially encoded atp synthase membrane subunit 8; ATP synthase protein 8; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is c [...] 
115	ATPAF1	9606.ENSP00000460964	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1; May play an essential role for the assembly of the mitochondrial F1-F0 complex
116	MT-CYB	9606.ENSP00000354554	MT-CYB	Cytochrome b; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex) that is part of the mitochondrial respiratory chain. The b-c1 complex mediates electron transfer from ubiquinol to cytochrome c. Contributes to the generation of a proton gradient across the mitochondrial membrane that is then used for ATP synthesis
117	CHDH	9606.ENSP00000319851	CHDH	Choline dehydrogenase, mitochondrial; Choline dehydrogenase
118	MTARC2	9606.ENSP00000355880	MARC2	Mitochondrial amidoxime reducing component 2; As a component of the benzamidoxime prodrug-converting complex required to reduce N-hydroxylated prodrugs, such as benzamidoxime. Also able to reduce N(omega)-hydroxy-L-arginine (NOHA) and N(omega)-hydroxy-N(delta)-methyl-L-arginine (NHAM) into L-arginine and N(delta)-methyl-L-arginine, respectively
119	GPX1	9606.ENSP00000407375	GPX1	Glutathione peroxidase 1; Protects the hemoglobin in erythrocytes from oxidative breakdown; Belongs to the glutathione peroxidase family
120	NDUFA4	9606.ENSP00000339720	NDUFA4	Nadh dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4; Cytochrome c oxidase subunit NDUFA4; Cytochrome c oxidase (COX, complex IV) is the terminal component of the mitochondrial respiratory chain that catalyzes the reduction of oxygen to water. Required for complex IV maintenance
121	CEP89	9606.ENSP00000306105	CEP89	Centrosomal protein of 89 kDa; Required for ciliogenesis. Also plays a role in mitochondrial metabolism where it may modulate complex IV activity
122	NDUFV3	9606.ENSP00000346196	NDUFV3	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial; Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. May be the terminally assembled subunit of Complex I
123	ACAD9	9606.ENSP00000312618	ACAD9	Acyl-CoA dehydrogenase family member 9, mitochondrial; Required for mitochondrial complex I assembly. Has a dehydrogenase activity on palmitoyl-CoA (C16:0) and stearoyl-CoA (C18:0). It is three times more active on palmitoyl-CoA than on stearoyl-CoA. However, it does not play a primary role in long-chain fatty acid oxidation in vivo. Has little activity on octanoyl-CoA (C8:0), butyryl-CoA (C4:0) or isovaleryl-CoA (5:0); Belongs to the acyl-CoA dehydrogenase family
124	NLRX1	9606.ENSP00000387334	NLRX1	NLR family member X1; Participates in antiviral signaling. Acts as a negative regulator of MAVS-mediated antiviral responses, through the inhibition of the virus-induced RLH (RIG-like helicase)-MAVS interaction. Has no inhibitory function on NF- Kappa-B and type 1 interferon signaling pathways, but enhances NF- Kappa-B and JUN N-terminal kinase dependent signaling through the production of reactive oxygen species; NLR family
125	ADCY10	9606.ENSP00000356825	ADCY10	Adenylate cyclase type 10; Catalyzes the formation of the signaling molecule cAMP. May function as sensor that mediates responses to changes in cellular bicarbonate and CO(2) levels. Has a critical role in mammalian spermatogenesis by producing the cAMP which regulates cAMP-responsive nuclear factors indispensable for sperm maturation in the epididymis. Induces capacitation, the maturational process that sperm undergo prior to fertilization (By similarity). Involved in ciliary beat regulation; Adenylate cyclases
126	NUBPL	9606.ENSP00000281081	NUBPL	Iron-sulfur protein NUBPL; Required for the assembly of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I). May deliver of one or more Fe-S clusters to complex I subunits; Belongs to the Mrp/NBP35 ATP-binding proteins family
127	ABCB7	9606.ENSP00000253577	ABCB7	ATP-binding cassette sub-family B member 7, mitochondrial; Could be involved in the transport of heme from the mitochondria to the cytosol. Plays a central role in the maturation of cytosolic iron-sulfur (Fe/S) cluster-containing proteins; ATP binding cassette subfamily B
128	OPA1	9606.ENSP00000354681	OPA1	Dynamin-like 120 kDa protein, mitochondrial; Dynamin-related GTPase that is essential for normal mitochondrial morphology by regulating the equilibrium between mitochondrial fusion and mitochondrial fission. Coexpression of isoform 1 with shorter alternative products is required for optimal activity in promoting mitochondrial fusion. Binds lipid membranes enriched in negatively charged phospholipids, such as cardiolipin, and promotes membrane tubulation. The intrinsic GTPase activity is low, and is strongly increased by interaction with lipid membranes. Plays a role in remodeling crist [...] 
129	APOO	9606.ENSP00000368528	APOO	MICOS complex subunit MIC26; Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane. Plays a crucial role in crista junction formation and mitochondrial function. Can promote cardiac lipotoxicity by enhancing mitochondrial respiration and fatty acid metabolism in cardiac myoblasts. Promotes cholesterol efflux from macrophage cells. Detected in HDL, LDL and VLDL. Secreted by a microsomal triglyceride trans [...] 
130	OXCT2	9606.ENSP00000361914	OXCT2	Succinyl-CoA:3-ketoacid coenzyme A transferase 2, mitochondrial; Key enzyme for ketone body catabolism. Transfers the CoA moiety from succinate to acetoacetate. Formation of the enzyme-CoA intermediate proceeds via an unstable anhydride species formed between the carboxylate groups of the enzyme and substrate (By similarity); Belongs to the 3-oxoacid CoA-transferase family
131	MCEE	9606.ENSP00000244217	MCEE	Methylmalonyl-CoA epimerase, mitochondrial; methylmalonyl-CoA epimerase; Belongs to the glyoxalase I family
132	OXSM	9606.ENSP00000280701	OXSM	3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial; May play a role in the biosynthesis of lipoic acid as well as longer chain fatty acids required for optimal mitochondrial function; Belongs to the beta-ketoacyl-ACP synthases family
133	GCSH	9606.ENSP00000319531	GCSH	Glycine cleavage system H protein, mitochondrial; The glycine cleavage system catalyzes the degradation of glycine. The H protein (GCSH) shuttles the methylamine group of glycine from the P protein (GLDC) to the T protein (GCST); Belongs to the GcvH family
134	PCCA	9606.ENSP00000365462	PCCA	This is one of the 2 subunits of the biotin-dependent propionyl-CoA carboxylase (PCC), a mitochondrial enzyme involved in the catabolism of odd chain fatty acids, branched-chain amino acids isoleucine, threonine, methionine, and valine and other metabolites . Propionyl-CoA carboxylase catalyzes the carboxylation of propionyl-CoA/propanoyl-CoA to D-methylmalonyl- CoA/(S)-methylmalonyl-CoA Within the holoenzyme, the alpha subunit catalyzes the ATP-dependent carboxylation of the biotin carried by the biotin carboxyl carrier (BCC) domain, while the beta subunit then transfers the carboxyl  [...] 
135	AKR1B10	9606.ENSP00000352584	AKR1B10	Aldo-keto reductase family 1 member B10; Acts as all-trans-retinaldehyde reductase. Can efficiently reduce aliphatic and aromatic aldehydes, and is less active on hexoses (in vitro). May be responsible for detoxification of reactive aldehydes in the digested food before the nutrients are passed on to other organs
136	PCCB	9606.ENSP00000419027	PCCB	This is one of the 2 subunits of the biotin-dependent propionyl-CoA carboxylase (PCC), a mitochondrial enzyme involved in the catabolism of odd chain fatty acids, branched-chain amino acids isoleucine, threonine, methionine, and valine and other metabolites . Propionyl-CoA carboxylase catalyzes the carboxylation of propionyl-CoA/propanoyl-CoA to D-methylmalonyl- CoA/(S)-methylmalonyl-CoA . Within the holoenzyme, the alpha subunit catalyzes the ATP-dependent carboxylation of the biotin carried by the biotin carboxyl carrier (BCC) domain, while the beta subunit then transfers the carboxy [...] 
137	ACAA1	9606.ENSP00000333664	ACAA1	3-ketoacyl-CoA thiolase, peroxisomal; acetyl-CoA acyltransferase 1
138	PDE12	9606.ENSP00000309142	PDE12	2',5'-phosphodiesterase 12; Enzyme that cleaves 2',5'-phosphodiester bond linking adenosines of the 5'-triphosphorylated oligoadenylates, triphosphorylated oligoadenylates referred as 2-5A modulates the 2-5A system. This enzyme degraded triphosphorylated 2-5A to produce AMP and ATP. Also cleaves 3',5'-phosphodiester bond of oligoadenylates. Plays a role as a negative regulator of the The 2-5A system that is one of the major pathways for antiviral and antitumor functions induced by interferons (IFNs). Suppression of this enzyme induces reduction of viral replication in Hela cells, thus  [...] 
139	ENDOG	9606.ENSP00000361725	ENDOG	Endonuclease G, mitochondrial; Cleaves DNA at double-stranded (DG)n.(DC)n and at single-stranded (DC)n tracts. In addition to deoxyribonuclease activities, also has ribonuclease (RNase) and RNase H activities. Capable of generating the RNA primers required by DNA polymerase gamma to initiate replication of mitochondrial DNA (By similarity); Belongs to the DNA/RNA non-specific endonuclease family
140	PDF	9606.ENSP00000288022	PDF	Peptide deformylase, mitochondrial; Removes the formyl group from the N-terminal Met of newly synthesized proteins; Belongs to the polypeptide deformylase family
141	AFG1L	9606.ENSP00000357973	LACE1	Peroxisome-assembly atpase; AFG1-like ATPase; Putative mitochondrial ATPase. Plays a role in mitochondrial morphology and mitochondrial protein metabolism. Promotes degradation of excess nuclear-encoded complex IV subunits (COX4I1, COX5A and COX6A1) and normal activity of complexes III and IV of the respiratory chain. Mediates mitochondrial translocation of TP53 and its transcription-independent apoptosis in response to genotoxic stress
142	PDPR	9606.ENSP00000288050	PDPR	Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial; Decreases the sensitivity of PDP1 to magnesium ions, and this inhibition is reversed by the polyamine spermine; Belongs to the GcvT family
143	ACO2	9606.ENSP00000216254	ACO2	Aconitate hydratase, mitochondrial; Catalyzes the isomerization of citrate to isocitrate via cis-aconitate; Belongs to the aconitase/IPM isomerase family
144	PDSS2	9606.ENSP00000358033	PDSS2	Decaprenyl-diphosphate synthase subunit 2; Supplies decaprenyl diphosphate, the precursor for the side chain of the isoprenoid quinones ubiquinone-10
