#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AARS2	PYCR2	9606.ENSP00000244571	9606.ENSP00000342502	0.051	0	0	0	0.066	0	0	0.247	0.275
AARS2	TRAP1	9606.ENSP00000244571	9606.ENSP00000246957	0	0	0	0	0.066	0.152	0	0.163	0.279
AARS2	MT-CO1	9606.ENSP00000244571	9606.ENSP00000354499	0	0	0	0	0.055	0	0	0.273	0.284
AARS2	SDHA	9606.ENSP00000244571	9606.ENSP00000264932	0	0	0	0	0.106	0.044	0	0.243	0.296
AARS2	DLAT	9606.ENSP00000244571	9606.ENSP00000280346	0.068	0	0	0	0.086	0	0	0.250	0.305
AARS2	AGK	9606.ENSP00000244571	9606.ENSP00000347581	0.071	0	0	0	0.095	0.070	0	0.232	0.319
AARS2	FDXR	9606.ENSP00000244571	9606.ENSP00000416515	0.118	0	0	0	0.065	0	0	0.248	0.327
AARS2	YRDC	9606.ENSP00000244571	9606.ENSP00000362135	0.077	0	0	0	0.108	0	0	0.251	0.329
AARS2	AADAT	9606.ENSP00000244571	9606.ENSP00000423190	0.163	0	0	0	0.062	0	0	0.218	0.333
AARS2	ACACA	9606.ENSP00000244571	9606.ENSP00000483300	0.052	0	0	0	0.062	0	0	0.315	0.337
AARS2	PTCD3	9606.ENSP00000244571	9606.ENSP00000254630	0	0	0	0	0.069	0	0	0.351	0.371
AARS2	OXA1L	9606.ENSP00000244571	9606.ENSP00000483491	0	0	0	0	0.065	0	0	0.407	0.421
AARS2	ELAC2	9606.ENSP00000244571	9606.ENSP00000337445	0.078	0	0	0	0.081	0	0	0.391	0.438
AARS2	ACAD9	9606.ENSP00000244571	9606.ENSP00000312618	0	0	0	0	0.074	0.117	0	0.372	0.441
AARS2	ALDH18A1	9606.ENSP00000244571	9606.ENSP00000360268	0.328	0	0	0	0.126	0	0	0.143	0.452
AARS2	YME1L1	9606.ENSP00000244571	9606.ENSP00000318480	0.078	0	0.220	0	0.112	0	0	0.302	0.495
AARS2	C12orf65	9606.ENSP00000244571	9606.ENSP00000253233	0.076	0	0	0	0.092	0.110	0	0.479	0.559
AARS2	TUFM	9606.ENSP00000244571	9606.ENSP00000322439	0	0	0.285	0	0.137	0.109	0	0.362	0.602
AARS2	YARS2	9606.ENSP00000244571	9606.ENSP00000320658	0.132	0	0	0	0.222	0.056	0	0.809	0.862
ABAT	ACO2	9606.ENSP00000379845	9606.ENSP00000216254	0	0	0	0	0.124	0.788	0	0.191	0.836
ABAT	MCEE	9606.ENSP00000379845	9606.ENSP00000244217	0	0	0	0	0.076	0	0	0.281	0.307
ABAT	GOT2	9606.ENSP00000379845	9606.ENSP00000245206	0	0	0	0	0.062	0.760	0	0.257	0.818
ABAT	GFER	9606.ENSP00000379845	9606.ENSP00000248114	0	0	0	0	0	0	0	0.210	0.210
ABAT	CCBL2	9606.ENSP00000379845	9606.ENSP00000260508	0	0	0	0	0.062	0.177	0	0.123	0.263
ABAT	SDHA	9606.ENSP00000379845	9606.ENSP00000264932	0	0	0	0	0	0	0	0.223	0.223
ABAT	BCKDHA	9606.ENSP00000379845	9606.ENSP00000269980	0.056	0	0	0	0.049	0	0	0.213	0.231
ABAT	ALDH1L1	9606.ENSP00000379845	9606.ENSP00000273450	0.053	0	0	0	0.142	0.200	0	0.171	0.389
ABAT	AMT	9606.ENSP00000379845	9606.ENSP00000273588	0.070	0	0	0	0.073	0	0	0.347	0.387
ABAT	MUT	9606.ENSP00000379845	9606.ENSP00000274813	0	0	0	0	0.062	0	0	0.276	0.292
ABAT	DLAT	9606.ENSP00000379845	9606.ENSP00000280346	0	0	0	0	0	0	0	0.293	0.293
ABAT	ACAD8	9606.ENSP00000379845	9606.ENSP00000281182	0.041	0	0	0	0	0	0	0.207	0.207
ABAT	ACAA2	9606.ENSP00000379845	9606.ENSP00000285093	0.059	0	0	0	0.062	0	0	0.300	0.328
ABAT	PDPR	9606.ENSP00000379845	9606.ENSP00000288050	0.070	0	0	0	0.064	0	0	0.129	0.175
ABAT	PRODH2	9606.ENSP00000379845	9606.ENSP00000301175	0	0	0	0	0.063	0	0	0.254	0.271
ABAT	AGXT	9606.ENSP00000379845	9606.ENSP00000302620	0.166	0	0	0	0.122	0.300	0	0.411	0.658
ABAT	UQCRFS1	9606.ENSP00000379845	9606.ENSP00000306397	0	0	0	0	0	0	0	0.205	0.205
ABAT	CA5A	9606.ENSP00000379845	9606.ENSP00000309649	0	0	0	0	0.052	0	0	0.146	0.155
ABAT	ACAD9	9606.ENSP00000379845	9606.ENSP00000312618	0.041	0	0	0	0	0	0	0.222	0.222
ABAT	GLS	9606.ENSP00000379845	9606.ENSP00000317379	0	0	0	0	0	0.058	0	0.206	0.220
ABAT	GCSH	9606.ENSP00000379845	9606.ENSP00000319531	0	0	0	0	0.069	0	0	0.218	0.241
ABAT	CHDH	9606.ENSP00000379845	9606.ENSP00000319851	0	0	0	0	0.063	0	0	0.143	0.162
ABAT	YARS2	9606.ENSP00000379845	9606.ENSP00000320658	0	0	0	0	0.062	0	0	0.144	0.162
ABAT	MDH2	9606.ENSP00000379845	9606.ENSP00000327070	0	0	0	0	0.069	0	0	0.237	0.260
ABAT	GLUD2	9606.ENSP00000379845	9606.ENSP00000327589	0.104	0	0	0	0.053	0	0	0.613	0.643
ABAT	ACAA1	9606.ENSP00000379845	9606.ENSP00000333664	0.059	0	0	0	0.065	0	0	0.288	0.319
ABAT	SHMT2	9606.ENSP00000379845	9606.ENSP00000333667	0.049	0	0	0	0	0	0	0.289	0.295
ABAT	TMLHE	9606.ENSP00000379845	9606.ENSP00000335261	0.063	0	0	0	0.140	0	0	0.082	0.195
ABAT	FDPS	9606.ENSP00000379845	9606.ENSP00000349078	0	0	0	0	0.049	0	0	0.308	0.314
ABAT	XPNPEP3	9606.ENSP00000379845	9606.ENSP00000349658	0.076	0	0	0	0.062	0.212	0	0	0.257
ABAT	AKR1B10	9606.ENSP00000379845	9606.ENSP00000352584	0	0	0	0	0.102	0	0	0.101	0.158
ABAT	COMT	9606.ENSP00000379845	9606.ENSP00000354511	0	0	0	0	0.062	0	0	0.184	0.202
ABAT	ALDH18A1	9606.ENSP00000379845	9606.ENSP00000360268	0.052	0	0	0	0	0.057	0	0.274	0.294
ABAT	SARDH	9606.ENSP00000379845	9606.ENSP00000360938	0.070	0	0	0	0.064	0	0	0.129	0.175
ABAT	OXCT2	9606.ENSP00000379845	9606.ENSP00000361914	0.111	0	0	0	0.065	0	0	0.088	0.175
ABAT	PCCA	9606.ENSP00000379845	9606.ENSP00000365462	0	0	0	0	0.063	0	0.800	0.250	0.847
ABAT	IRG1	9606.ENSP00000379845	9606.ENSP00000366682	0.120	0	0	0	0.063	0	0	0.122	0.212
ABAT	MAOB	9606.ENSP00000379845	9606.ENSP00000367309	0.070	0	0	0	0.096	0	0	0.287	0.348
ABAT	GLDC	9606.ENSP00000379845	9606.ENSP00000370737	0.078	0	0	0	0.098	0	0	0.240	0.312
ABAT	SUOX	9606.ENSP00000379845	9606.ENSP00000377668	0	0	0	0	0	0	0	0.181	0.181
ABAT	TXNRD2	9606.ENSP00000379845	9606.ENSP00000383365	0	0	0	0	0.064	0	0	0.138	0.159
ABAT	SUCLG2	9606.ENSP00000379845	9606.ENSP00000419325	0	0	0	0	0.066	0	0	0.169	0.191
ABAT	ACSM4	9606.ENSP00000379845	9606.ENSP00000382349	0	0	0	0	0.096	0	0	0.172	0.219
ABAT	CKMT1A	9606.ENSP00000379845	9606.ENSP00000406577	0	0	0	0	0.082	0.275	0	0.041	0.306
ABAT	GPX1	9606.ENSP00000379845	9606.ENSP00000407375	0	0	0	0	0.057	0.344	0	0.055	0.364
ABAT	AADAT	9606.ENSP00000379845	9606.ENSP00000423190	0.166	0	0	0	0.065	0	0	0.318	0.422
ABAT	PCCB	9606.ENSP00000379845	9606.ENSP00000419027	0	0	0	0	0.062	0	0.800	0.132	0.822
ABAT	GATM	9606.ENSP00000379845	9606.ENSP00000379895	0.079	0	0	0	0.087	0	0.800	0.145	0.837
ABAT	ALDH7A1	9606.ENSP00000379845	9606.ENSP00000387123	0.053	0	0	0	0.110	0.839	0.900	0.162	0.986
ABCA9	SLC25A11	9606.ENSP00000342216	9606.ENSP00000225665	0	0	0	0	0	0	0	0.158	0.158
ABCA9	AARS2	9606.ENSP00000342216	9606.ENSP00000244571	0	0	0	0	0.064	0	0	0.182	0.202
ABCA9	ABCB7	9606.ENSP00000342216	9606.ENSP00000253577	0	0	0	0.550	0.063	0.077	0	0.330	0.220
ABCA9	ALDH1L1	9606.ENSP00000342216	9606.ENSP00000273450	0	0	0	0	0.079	0	0	0.160	0.194
ABCA9	AMT	9606.ENSP00000342216	9606.ENSP00000273588	0	0	0	0	0	0	0	0.256	0.256
ABCA9	PDPR	9606.ENSP00000342216	9606.ENSP00000288050	0	0	0	0	0.049	0	0	0.197	0.203
ABCA9	CYB5B	9606.ENSP00000342216	9606.ENSP00000308430	0	0	0	0	0.065	0	0	0.174	0.195
ABCA9	SLC25A42	9606.ENSP00000342216	9606.ENSP00000326693	0	0	0	0	0	0	0	0.265	0.265
ABCA9	TST	9606.ENSP00000342216	9606.ENSP00000385828	0	0	0	0	0.062	0	0	0.158	0.176
ABCA9	AADAT	9606.ENSP00000342216	9606.ENSP00000423190	0	0	0	0	0.062	0	0	0.164	0.182
ABCA9	ABCD3	9606.ENSP00000342216	9606.ENSP00000359233	0	0	0	0	0.062	0	0	0.164	0.182
ABCA9	MT-ND1	9606.ENSP00000342216	9606.ENSP00000354687	0	0	0	0	0	0	0	0.210	0.210
ABCA9	ABCB10	9606.ENSP00000342216	9606.ENSP00000355637	0	0	0	0.552	0.062	0.135	0	0.441	0.312
ABCB10	ACO2	9606.ENSP00000355637	9606.ENSP00000216254	0	0	0	0	0.049	0	0	0.195	0.202
ABCB10	SLC25A11	9606.ENSP00000355637	9606.ENSP00000225665	0	0	0	0	0.063	0	0	0.229	0.247
ABCB10	SLC25A3	9606.ENSP00000355637	9606.ENSP00000228318	0	0	0	0	0.063	0	0	0.226	0.243
ABCB10	AARS2	9606.ENSP00000355637	9606.ENSP00000244571	0	0	0	0	0.066	0	0	0.174	0.197
ABCB10	GFER	9606.ENSP00000355637	9606.ENSP00000248114	0	0	0	0	0.062	0	0	0.150	0.169
ABCB10	ABCB7	9606.ENSP00000355637	9606.ENSP00000253577	0.044	0	0	0.685	0.093	0.105	0.600	0.897	0.747
ABCB10	VDAC1	9606.ENSP00000355637	9606.ENSP00000265333	0	0	0	0	0.049	0.058	0	0.159	0.180
ABCB10	SFXN5	9606.ENSP00000355637	9606.ENSP00000272433	0	0	0	0	0.062	0.078	0	0.198	0.246
ABCB10	SLC25A38	9606.ENSP00000355637	9606.ENSP00000273158	0	0	0	0	0.062	0.060	0	0.770	0.779
ABCB10	ABHD10	9606.ENSP00000355637	9606.ENSP00000273359	0	0	0	0	0	0.064	0	0.226	0.244
ABCB10	AMT	9606.ENSP00000355637	9606.ENSP00000273588	0	0	0	0	0.062	0	0	0.142	0.160
ABCB10	MUT	9606.ENSP00000355637	9606.ENSP00000274813	0	0	0	0	0.058	0	0	0.227	0.241
ABCB10	NUBPL	9606.ENSP00000355637	9606.ENSP00000281081	0	0	0	0	0.059	0	0	0.212	0.227
ABCB10	SLC25A32	9606.ENSP00000355637	9606.ENSP00000297578	0	0	0	0	0.062	0	0	0.156	0.174
ABCB10	LETM1	9606.ENSP00000355637	9606.ENSP00000305653	0	0	0	0	0.078	0.058	0	0.115	0.165
ABCB10	UQCRFS1	9606.ENSP00000355637	9606.ENSP00000306397	0	0	0	0	0.069	0	0	0.195	0.219
ABCB10	CYCS	9606.ENSP00000355637	9606.ENSP00000307786	0	0	0	0	0.049	0	0	0.160	0.167
ABCB10	SFXN1	9606.ENSP00000355637	9606.ENSP00000316905	0	0	0	0	0.047	0.078	0	0.389	0.416
ABCB10	YME1L1	9606.ENSP00000355637	9606.ENSP00000318480	0	0	0	0	0.064	0.056	0	0.249	0.278
ABCB10	YARS2	9606.ENSP00000355637	9606.ENSP00000320658	0	0	0	0	0.085	0	0	0.188	0.226
ABCB10	SHMT2	9606.ENSP00000355637	9606.ENSP00000333667	0.058	0	0	0	0.064	0	0	0.163	0.198
ABCB10	ABCA9	9606.ENSP00000355637	9606.ENSP00000342216	0	0	0	0.552	0.062	0.135	0	0.441	0.312
ABCB10	SLC25A29	9606.ENSP00000355637	9606.ENSP00000352167	0	0	0	0	0	0	0	0.283	0.283
ABCB10	TOMM20	9606.ENSP00000355637	9606.ENSP00000355566	0	0	0	0	0.099	0	0	0.102	0.157
ABCB10	ABCD3	9606.ENSP00000355637	9606.ENSP00000359233	0	0	0	0.549	0.064	0	0	0.239	0.151
ABCB10	SLC25A45	9606.ENSP00000355637	9606.ENSP00000381782	0	0	0	0	0.062	0	0	0.132	0.151
ABCB10	ATP5A1	9606.ENSP00000355637	9606.ENSP00000381736	0	0	0	0	0.066	0.069	0	0.107	0.155
ABCB10	BCS1L	9606.ENSP00000355637	9606.ENSP00000413908	0	0	0	0	0.082	0.056	0	0.114	0.165
ABCB10	ATAD3A	9606.ENSP00000355637	9606.ENSP00000368030	0	0	0	0	0.108	0	0	0.102	0.166
ABCB10	AADAT	9606.ENSP00000355637	9606.ENSP00000423190	0	0	0	0	0.062	0	0	0.148	0.167
ABCB10	SLC25A12	9606.ENSP00000355637	9606.ENSP00000388658	0	0	0	0	0	0	0	0.170	0.169
ABCB10	SLC25A6	9606.ENSP00000355637	9606.ENSP00000370808	0	0	0	0	0.049	0	0	0.164	0.171
ABCB10	COASY	9606.ENSP00000355637	9606.ENSP00000464814	0	0	0	0	0	0	0	0.190	0.190
ABCB10	PCCB	9606.ENSP00000355637	9606.ENSP00000419027	0	0	0	0	0	0	0	0.195	0.195
ABCB10	PPM1K	9606.ENSP00000355637	9606.ENSP00000477341	0	0	0	0	0.049	0	0	0.258	0.264
ABCB10	AIFM2	9606.ENSP00000355637	9606.ENSP00000478931	0	0	0	0	0.062	0	0	0.298	0.313
ABCB10	SLC25A37	9606.ENSP00000355637	9606.ENSP00000429200	0	0	0	0	0.054	0	0	0.988	0.988
ABCB7	ACO2	9606.ENSP00000253577	9606.ENSP00000216254	0	0	0	0	0.053	0	0	0.454	0.460
ABCB7	SLC25A11	9606.ENSP00000253577	9606.ENSP00000225665	0	0	0	0	0.089	0	0	0.178	0.220
ABCB7	SLC25A3	9606.ENSP00000253577	9606.ENSP00000228318	0	0	0	0	0.082	0	0	0.302	0.332
ABCB7	AARS2	9606.ENSP00000253577	9606.ENSP00000244571	0	0	0	0	0	0	0	0.207	0.207
ABCB7	GFER	9606.ENSP00000253577	9606.ENSP00000248114	0	0	0	0	0.064	0	0	0.704	0.711
ABCB7	C12orf65	9606.ENSP00000253577	9606.ENSP00000253233	0	0	0	0	0.062	0.104	0	0.080	0.159
ABCB7	ATP5A1	9606.ENSP00000253577	9606.ENSP00000381736	0	0	0	0	0.063	0	0	0.130	0.151
ABCB7	SLC25A45	9606.ENSP00000253577	9606.ENSP00000381782	0	0	0	0	0.052	0	0	0.143	0.152
ABCB7	TMLHE	9606.ENSP00000253577	9606.ENSP00000335261	0	0	0	0	0.091	0	0	0.110	0.157
ABCB7	TSPO	9606.ENSP00000253577	9606.ENSP00000379563	0	0	0	0	0.062	0	0	0.141	0.160
ABCB7	MT-CYB	9606.ENSP00000253577	9606.ENSP00000354554	0	0	0	0	0	0	0	0.161	0.161
ABCB7	IDI1	9606.ENSP00000253577	9606.ENSP00000370748	0.162	0	0	0	0	0	0	0	0.161
ABCB7	C10orf2	9606.ENSP00000253577	9606.ENSP00000309595	0	0	0	0	0.083	0	0	0.123	0.161
ABCB7	SAMM50	9606.ENSP00000253577	9606.ENSP00000345445	0	0	0	0	0.079	0	0	0.129	0.164
ABCB7	BCS1L	9606.ENSP00000253577	9606.ENSP00000413908	0	0	0	0	0.065	0	0	0.142	0.164
ABCB7	TRIAP1	9606.ENSP00000253577	9606.ENSP00000449795	0	0	0	0	0	0	0	0.167	0.167
ABCB7	NLRX1	9606.ENSP00000253577	9606.ENSP00000387334	0	0	0	0	0.171	0	0	0	0.171
ABCB7	CYCS	9606.ENSP00000253577	9606.ENSP00000307786	0	0	0	0	0.065	0	0	0.156	0.177
ABCB7	TOP1MT	9606.ENSP00000253577	9606.ENSP00000328835	0	0	0	0	0.078	0	0	0.144	0.177
ABCB7	SDHAF1	9606.ENSP00000253577	9606.ENSP00000368165	0	0	0	0	0	0	0	0.177	0.177
ABCB7	MUT	9606.ENSP00000253577	9606.ENSP00000274813	0.163	0	0	0	0	0	0	0.061	0.180
ABCB7	ACAD8	9606.ENSP00000253577	9606.ENSP00000281182	0	0	0	0	0.184	0	0	0	0.183
ABCB7	SLC25A13	9606.ENSP00000253577	9606.ENSP00000400101	0	0	0	0	0.065	0	0	0.163	0.184
ABCB7	MARC2	9606.ENSP00000253577	9606.ENSP00000355880	0	0	0	0	0	0	0	0.185	0.185
ABCB7	SFXN5	9606.ENSP00000253577	9606.ENSP00000272433	0	0	0	0	0	0	0	0.189	0.189
ABCB7	LETM1	9606.ENSP00000253577	9606.ENSP00000305653	0	0	0	0	0.062	0	0	0.173	0.191
ABCB7	UQCRFS1	9606.ENSP00000253577	9606.ENSP00000306397	0	0	0	0	0.105	0	0	0.142	0.200
ABCB7	VDAC1	9606.ENSP00000253577	9606.ENSP00000265333	0	0	0	0	0.064	0	0	0.186	0.206
ABCB7	TOMM70A	9606.ENSP00000253577	9606.ENSP00000284320	0	0	0	0	0.111	0	0	0.146	0.208
ABCB7	AADAT	9606.ENSP00000253577	9606.ENSP00000423190	0	0	0	0	0.093	0	0	0.163	0.209
ABCB7	SUOX	9606.ENSP00000253577	9606.ENSP00000377668	0	0	0	0	0.049	0	0	0.208	0.215
ABCB7	MDH2	9606.ENSP00000253577	9606.ENSP00000327070	0	0	0	0	0.064	0.098	0	0.146	0.216
ABCB7	ABCA9	9606.ENSP00000253577	9606.ENSP00000342216	0	0	0	0.550	0.063	0.077	0	0.330	0.220
ABCB7	AMT	9606.ENSP00000253577	9606.ENSP00000273588	0	0	0	0	0.066	0	0	0.199	0.220
ABCB7	TIMM44	9606.ENSP00000253577	9606.ENSP00000270538	0	0	0	0	0.109	0	0	0.161	0.220
ABCB7	CYB5B	9606.ENSP00000253577	9606.ENSP00000308430	0	0	0	0	0.075	0	0	0.197	0.226
ABCB7	MT-ATP6	9606.ENSP00000253577	9606.ENSP00000354632	0	0	0	0	0.105	0	0	0.172	0.227
ABCB7	COQ10A	9606.ENSP00000253577	9606.ENSP00000312587	0	0	0.234	0	0.051	0	0	0	0.241
ABCB7	SFXN1	9606.ENSP00000253577	9606.ENSP00000316905	0	0	0	0	0.045	0	0	0.254	0.257
ABCB7	COX4I1	9606.ENSP00000253577	9606.ENSP00000457513	0	0	0	0	0.073	0.179	0	0.104	0.258
ABCB7	SLC25A20	9606.ENSP00000253577	9606.ENSP00000326305	0	0	0	0	0.179	0	0	0.149	0.271
ABCB7	NDUFA4	9606.ENSP00000253577	9606.ENSP00000339720	0	0	0	0	0	0.275	0	0	0.275
ABCB7	MCU	9606.ENSP00000253577	9606.ENSP00000362144	0	0	0	0	0.231	0.094	0	0.043	0.275
ABCB7	MTCH1	9606.ENSP00000253577	9606.ENSP00000362730	0	0	0	0	0.064	0.275	0	0	0.292
ABCB7	SLC25A6	9606.ENSP00000253577	9606.ENSP00000370808	0	0	0	0	0.062	0	0	0.281	0.296
ABCB7	COASY	9606.ENSP00000253577	9606.ENSP00000464814	0	0	0	0	0.063	0	0	0.284	0.300
ABCB7	HCCS	9606.ENSP00000253577	9606.ENSP00000326579	0	0	0	0	0.231	0	0	0.138	0.308
ABCB7	AIFM1	9606.ENSP00000253577	9606.ENSP00000287295	0	0	0	0	0.281	0	0	0.098	0.323
ABCB7	APOO	9606.ENSP00000253577	9606.ENSP00000368528	0	0	0	0	0.233	0	0	0.254	0.403
