Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSG00000276341	RDH13	CHR_HSCHR19LRC_LRC_I_CTG3_1	55049943	55068836
ENSG00000275474	RDH13	CHR_HSCHR19LRC_LRC_S_CTG3_1	55052029	55070922
ENSG00000276826	RDH13	CHR_HSCHR19LRC_COX2_CTG3_1	54715159	54734052
ENSG00000274504	RDH13	CHR_HSCHR19LRC_LRC_T_CTG3_1	54988322	55007215
ENSG00000278284	RDH13	CHR_HSCHR19LRC_PGF2_CTG3_1	54782118	54801011
ENSG00000273944	RDH13	CHR_HSCHR19LRC_LRC_J_CTG3_1	55077480	55096373
ENSG00000276684	RDH13	CHR_HSCHR19_4_CTG3_1	55047223	55079406
ENSG00000278149	RDH13	CHR_HSCHR19LRC_COX1_CTG3_1	54973355	54992248
ENSG00000274418	RDH13	CHR_HSCHR19LRC_PGF1_CTG3_1	54972739	54991632
ENSG00000160439	RDH13	19	55039108	55071291
ENSG00000267673	FDX2	19	10309916	10316015
ENSG00000241935	HOGA1	10	97584323	97612802
ENSG00000146410	MTFR2	6	136231024	136250335
ENSG00000116288	PARK7	1	7954291	7985505
ENSG00000215021	PHB2	12	6965327	6970780
ENSG00000097021	ACOT7	1	6264269	6393767
ENSG00000139410	SDSL	12	113422380	113438276
ENSG00000103642	LACTB	15	63121833	63142061
ENSG00000148339	SLC25A25	9	128068201	128109245
ENSG00000141447	OSBPL1A	18	24162045	24397880
ENSG00000285206	PTPMT1	CHR_HG2114_PATCH	47565430	47573461
ENSG00000110536	PTPMT1	11	47565430	47573461
ENSG00000162600	OMA1	1	58415384	58546802
ENSG00000282739	SLC25A26	CHR_HG2235_PATCH	66133610	66388212
ENSG00000144741	SLC25A26	3	66133610	66388116
ENSG00000156928	MALSU1	7	23298739	23311729
ENSG00000284868	DHRS1	CHR_HG1_PATCH	24290597	24299779
ENSG00000157379	DHRS1	14	24290598	24299780
ENSG00000237289	CKMT1B	15	43593054	43604901
ENSG00000223572	CKMT1A	15	43692886	43699222
ENSG00000131730	CKMT2	5	81233320	81266398
ENSG00000124098	FAM210B	20	56358974	56368663
ENSG00000203667	COX20	1	244835616	244845057
ENSG00000166743	ACSM1	16	20623235	20698890
ENSG00000184428	TOP1MT	8	143304384	143359979
ENSG00000204822	MRPL53	2	74471982	74472687
ENSG00000183617	MRPL54	19	3762682	3768575
ENSG00000159445	THEM4	1	151870866	151909637
ENSG00000172586	CHCHD1	10	73782047	73783652
ENSG00000165644	COMTD1	10	75233641	75236030
ENSG00000156398	SFXN2	10	102714538	102743492
ENSG00000183605	SFXN4	10	119140767	119165714
ENSG00000172590	MRPL52	14	22829879	22835037
ENSG00000165898	ISCA2	14	74493756	74497106
ENSG00000197119	SLC25A29	14	100291116	100306547
ENSG00000103707	MTFMT	15	65001512	65029639
ENSG00000183747	ACSM2A	16	20451461	20487669
ENSG00000103356	EARS2	16	23520754	23557731
ENSG00000159111	MRPL10	17	47823272	47831541
ENSG00000284495	MIEF2	CHR_HSCHR17_3_CTG1	18260597	18266552
ENSG00000177427	MIEF2	17	18260597	18266552
ENSG00000177150	FAM210A	18	13663347	13726663
ENSG00000160471	COX6B2	19	55349306	55354719
ENSG00000174917	MICOS13	19	5678421	5680516
ENSG00000169169	CPT1C	19	49690898	49713731
ENSG00000174886	NDUFA11	19	5891276	5904006
ENSG00000169972	PUSL1	1	1308597	1311677
ENSG00000143353	LYPLAL1	1	219173869	219212865
ENSG00000163382	NAXE	1	156591756	156609507
ENSG00000162910	MRPL55	1	228106679	228109312
ENSG00000134326	CMPK2	2	6840570	6866635
ENSG00000277926	NEU4	CHR_HSCHR2_3_CTG15	241808825	241817413
ENSG00000204099	NEU4	2	241809065	241817413
ENSG00000122085	MTERF4	2	241072169	241102332
ENSG00000160124	MIX23	3	122359591	122383231
ENSG00000205981	DNAJC19	3	180983697	180989774
ENSG00000093010	COMT	22	19941371	19969975
ENSG00000163528	CHCHD4	3	14112077	14124870
ENSG00000279643	TAMM41	CHR_HSCHR3_1_CTG1	11817080	11846919
ENSG00000144559	TAMM41	3	11790442	11846919
ENSG00000168237	GLYCTK	3	52287089	52295257
ENSG00000145247	OCIAD2	4	48885019	48906937
ENSG00000131143	COX4I1	16	85798633	85807068
ENSG00000135940	COX5B	2	97646062	97648383
ENSG00000155542	SETD9	5	56909260	56925532
ENSG00000152620	NADK2	5	36192589	36242279
ENSG00000111775	COX6A1	12	120438090	120440737
ENSG00000156885	COX6A2	16	31427731	31428360
ENSG00000164366	CCDC127	5	196868	218153
ENSG00000126267	COX6B1	19	35648323	35658782
ENSG00000150756	ATPSCKMT	5	10225507	10249897
ENSG00000164284	GRPEL2	5	149345430	149354583
ENSG00000164919	COX6C	8	99873200	99893707
ENSG00000161281	COX7A1	19	36150922	36152449
ENSG00000112695	COX7A2	6	75237675	75250323
ENSG00000131174	COX7B	X	77899440	77907376
ENSG00000127184	COX7C	5	86617928	86620962
ENSG00000176340	COX8A	11	63974620	63976543
ENSG00000111911	HINT3	6	125956770	125980244
ENSG00000154079	SDHAF4	6	70566917	70589569
ENSG00000006695	COX10	17	14069490	14231736
ENSG00000166260	COX11	17	54951902	54968703
ENSG00000014919	COX15	10	99710868	99732127
ENSG00000080819	CPOX	3	98579446	98593648
ENSG00000021826	CPS1	2	210477682	210679107
ENSG00000110090	CPT1A	11	68754620	68844410
ENSG00000205560	CPT1B	22	50568861	50578465
ENSG00000157184	CPT2	1	53196792	53214197
ENSG00000156170	NDUFAF6	8	94895533	95116455
ENSG00000147576	ADHFE1	8	66432492	66468907
ENSG00000165046	LETM2	8	38386207	38409527
ENSG00000095321	CRAT	9	129094142	129111189
ENSG00000187024	PTRH1	9	127690348	127724873
ENSG00000155008	APOOL	X	85003877	85093315
ENSG00000069509	FUNDC1	X	44523639	44542859
ENSG00000008405	CRY1	12	106991364	107093549
ENSG00000125995	ROMO1	20	35699272	35700984
ENSG00000174740	PABPC5	X	91434595	91438584
ENSG00000116791	CRYZ	1	74705482	74733408
ENSG00000062485	CS	12	56271699	56300391
ENSG00000205707	ETFRF1	12	25195216	25209645
ENSG00000189227	C15orf61	15	67521131	67530146
ENSG00000183048	SLC25A10	17	81712236	81721016
ENSG00000141437	SLC25A52	18	31759584	31760880
ENSG00000183773	AIFM3	22	20965108	20981360
ENSG00000100209	HSCB	22	28742039	28757515
ENSG00000186281	GPAT2	2	96021946	96039451
ENSG00000187118	CMC1	3	28241584	28325142
ENSG00000163644	PPM1K	4	88257620	88284769
ENSG00000145832	SLC25A48	5	135476913	135889770
ENSG00000179091	CYC1	8	144095039	144097525
ENSG00000186314	PRELID2	5	145471799	145835369
ENSG00000164898	FMC1	7	139339457	139346328
ENSG00000164983	TMEM65	8	124306189	124372701
ENSG00000288362	CYP11A1	CHR_HG2198_PATCH	74339603	74369490
ENSG00000140459	CYP11A1	15	74337759	74367646
ENSG00000160882	CYP11B1	8	142872356	142879846
ENSG00000179142	CYP11B2	8	142910559	142917843
ENSG00000019186	CYP24A1	20	54153446	54173986
ENSG00000135929	CYP27A1	2	218781749	218815293
ENSG00000111012	CYP27B1	12	57762334	57768986
ENSG00000136010	ALDH1L2	12	105019784	105107643
ENSG00000196850	PPTC7	12	110533245	110583318
ENSG00000155368	DBI	2	119366924	119372550
ENSG00000161653	NAGS	17	44004622	44009068
ENSG00000137992	DBT	1	100186919	100249834
ENSG00000167969	ECI1	16	2239402	2252300
ENSG00000104325	DECR1	8	90001405	90053633
ENSG00000151611	MMAA	4	145599042	145660033
ENSG00000146250	PRSS35	6	83512534	83525704
ENSG00000126953	TIMM8A	X	101345661	101348742
ENSG00000170516	COX7B2	4	46734827	46909245
ENSG00000125246	CLYBL	13	99606669	99909459
ENSG00000114956	DGUOK	2	73926826	73958961
ENSG00000102967	DHODH	16	72008588	72027664
ENSG00000100243	CYB5R3	22	42615730	42720870
ENSG00000150768	DLAT	11	112025408	112064404
ENSG00000091140	DLD	7	107891162	107931730
ENSG00000119689	DLST	14	74881891	74903743
ENSG00000123453	SARDH	9	133663560	133739955
ENSG00000104936	DMPK	19	45769709	45782552
ENSG00000138346	DNA2	10	68414064	68472121
ENSG00000183044	ABAT	16	8674596	8784575
ENSG00000168393	DTYMK	2	241675747	241686944
ENSG00000128951	DUT	15	48331011	48343373
ENSG00000172482	AGXT	2	240868824	240880502
ENSG00000282853	ECH1	CHR_HG26_PATCH	38815458	38831877
ENSG00000104823	ECH1	19	38815422	38831841
ENSG00000127884	ECHS1	10	133362485	133373354
ENSG00000247077	PGAM5	12	132710819	132722734
ENSG00000146066	HIGD2A	5	176388751	176389761
ENSG00000169519	METTL15	11	28108248	28527041
ENSG00000113790	EHHADH	3	185190624	185281990
ENSG00000148950	IMMP1L	11	31432401	31509645
ENSG00000166816	LDHD	16	75111860	75116780
ENSG00000176715	ACSF3	16	89088375	89164121
ENSG00000181873	IBA57	1	228165804	228182257
ENSG00000179598	PLD6	17	17200995	17206333
ENSG00000232859	LYRM9	17	27878314	27894752
ENSG00000174840	PDE12	3	57556274	57566848
ENSG00000164306	PRIMPOL	4	184649667	184694963
ENSG00000167136	ENDOG	9	128818500	128822676
ENSG00000285451	ADCK5	CHR_HG2419_PATCH	144373101	144393242
ENSG00000173137	ADCK5	8	144373101	144393242
ENSG00000077713	SLC25A43	X	119399336	119454478
ENSG00000004455	AK2	1	33007986	33080996
ENSG00000148175	STOM	9	121338987	121370304
ENSG00000162433	AK4	1	65147549	65232145
ENSG00000120915	EPHX2	8	27490781	27545564
ENSG00000178074	C2orf69	2	199911293	199955935
ENSG00000140374	ETFA	15	76188555	76311730
ENSG00000105379	ETFB	19	51345169	51366388
ENSG00000023330	ALAS1	3	52198086	52214327
ENSG00000171503	ETFDH	4	158671968	158710742
ENSG00000158578	ALAS2	X	55009055	55030977
ENSG00000101986	ABCD1	X	153724856	153744755
ENSG00000163586	FABP1	2	88122982	88128062
ENSG00000111275	ALDH2	12	111766887	111817532
ENSG00000151726	ACSL1	4	184755595	184826818
ENSG00000137124	ALDH1B1	9	38392702	38398661
ENSG00000169710	FASN	17	82078338	82098294
ENSG00000122033	MTIF3	13	27435643	27450591
ENSG00000197345	MRPL21	11	68891276	68903835
ENSG00000166118	SPATA19	11	133840631	133845538
ENSG00000131269	ABCB7	X	75051048	75156732
ENSG00000165487	MICU2	13	21492691	21604181
ENSG00000224120	C6orf136	CHR_HSCHR6_MHC_MCF_CTG1	30725496	30731566
ENSG00000233641	C6orf136	CHR_HSCHR6_MHC_COX_CTG1	30636880	30642942
ENSG00000233164	C6orf136	CHR_HSCHR6_MHC_MANN_CTG1	30691675	30697740
ENSG00000237100	C6orf136	CHR_HSCHR6_MHC_SSTO_CTG1	30639263	30645325
ENSG00000237012	C6orf136	CHR_HSCHR6_MHC_DBB_CTG1	30637275	30643339
ENSG00000206487	C6orf136	CHR_HSCHR6_MHC_QBL_CTG1	30636534	30642598
ENSG00000204564	C6orf136	6	30647039	30653210
ENSG00000222011	FAM185A	7	102748971	102809225
ENSG00000160752	FDPS	1	155308748	155320666
ENSG00000143149	ALDH9A1	1	165662216	165698562
ENSG00000137714	FDX1	11	110429948	110464884
ENSG00000161513	FDXR	17	74862497	74873031
ENSG00000066926	FECH	18	57544377	57586732
ENSG00000072210	ALDH3A2	17	19648136	19685760
ENSG00000173208	ABCD2	12	39550033	39619803
ENSG00000091483	FH	1	241497511	241519799
ENSG00000189283	FHIT	3	59747277	61251459
ENSG00000118246	FASTKD2	2	206765357	206796189
ENSG00000132153	DHX30	3	47802909	47850195
ENSG00000148450	MSRB2	10	23095579	23122013
ENSG00000153574	RPIA	2	88691673	88750929
ENSG00000102763	VWA8	13	41566835	41961120
ENSG00000113048	MRPS27	5	72214953	72321717
ENSG00000165688	PMPCA	9	136410630	136427992
ENSG00000164398	ACSL6	5	131949973	132012243
ENSG00000011376	LARS2	3	45388561	45554726
ENSG00000124523	SIRT5	6	13574227	13615158
ENSG00000089163	SIRT4	12	120302316	120313249
ENSG00000142082	SIRT3	11	215030	236931
ENSG00000103150	MLYCD	16	83899115	83951445
ENSG00000112855	HARS2	5	140691430	140699305
ENSG00000135776	ABCB10	1	229516582	229558707
ENSG00000100116	GCAT	22	37807905	37817176
ENSG00000105755	ETHE1	19	43506719	43527230
ENSG00000136003	ISCU	12	108562582	108569368
ENSG00000112992	NNT	5	43602692	43707405
ENSG00000136877	FPGS	9	127794597	127814327
ENSG00000148459	PDSS1	10	26697701	26746798
ENSG00000123130	ACOT9	X	23701055	23766475
ENSG00000242110	AMACR	5	33986165	34008104
ENSG00000241878	PISD	22	31618491	31662221
ENSG00000105701	FKBP8	19	18531751	18544077
ENSG00000099968	BCL2L13	22	17628855	17730855
ENSG00000137409	MTCH1	6	36965807	36986298
ENSG00000285121	MTCH2	CHR_HG2114_PATCH	47617315	47647147
ENSG00000109919	MTCH2	11	47617315	47642607
ENSG00000165060	FXN	9	69035751	69079076
ENSG00000171865	RNASEH1	2	3541430	3558333
ENSG00000135537	AFG1L	6	108294991	108526796
ENSG00000167996	FTH1	11	61959718	61967634
ENSG00000183569	SERHL2	22	42553617	42574382
ENSG00000174032	SLC25A30	13	45393316	45418455
ENSG00000174099	MSRB3	12	65278643	65491430
ENSG00000139160	ETFBKMT	12	31647160	31673114
ENSG00000172878	METAP1D	2	171999943	172082430
ENSG00000167799	NUDT8	11	67627938	67629937
ENSG00000275543	MPV17L	CHR_HSCHR16_1_CTG1	15480860	15498390
ENSG00000282074		CHR_HSCHR16_1_CTG1	15480860	15600484
ENSG00000261130		16	15395754	15515348
ENSG00000156968	MPV17L	16	15395754	15413271
ENSG00000100347	SAMM50	22	43955442	44010531
ENSG00000151014	NOCT	4	139015781	139045939
ENSG00000135297	MTO1	6	73461578	73509236
ENSG00000126432	PRDX5	11	64318121	64321811
ENSG00000100348	TXN2	22	36467046	36481640
ENSG00000143158	MPC2	1	167916675	167937072
ENSG00000050426	LETMD1	12	51047962	51060424
ENSG00000184857	TMEM186	16	8780384	8797642
ENSG00000120254	MTHFD1L	6	150865679	151101887
ENSG00000178057	NDUFAF3	3	49020459	49023495
ENSG00000136783	NIPSNAP3A	9	104747683	104760120
ENSG00000127838	PNKD	2	218269651	218346793
ENSG00000166321	NUDT13	10	73110375	73131828
ENSG00000162396	PARS2	1	54756898	54764523
ENSG00000109016	DHRS7B	17	21123364	21193265
ENSG00000181061	HIGD1A	3	42782908	42804490
ENSG00000076043	REXO2	11	114439435	114450279
ENSG00000106246	PTCD1	7	99416739	99466163
ENSG00000162390	ACOT11	1	54542257	54639192
ENSG00000004142	POLDIP2	17	28346633	28357527
ENSG00000101181	MTG2	20	62183028	62203568
ENSG00000106105	GARS1	7	30580533	30634033
ENSG00000112234	FBXL4	6	98868535	98948006
ENSG00000198130	HIBCH	2	190189735	190344193
ENSG00000171766	GATM	15	45361124	45402327
ENSG00000132591	ERAL1	17	28855010	28861061
ENSG00000146729	NIPSNAP2	7	55951793	56000181
ENSG00000114023	FAM162A	3	122384161	122412334
ENSG00000105607	GCDH	19	12891160	12914207
ENSG00000135441	BLOC1S1	12	55716038	55720087
ENSG00000132286	TIMM10B	11	6481501	6484681
ENSG00000099800	TIMM13	19	2425625	2427586
ENSG00000134809	TIMM10	11	57528464	57530803
ENSG00000100575	TIMM9	14	58408495	58427531
ENSG00000150779	TIMM8B	11	112084800	112086798
ENSG00000140905	GCSH	16	81081945	81096395
ENSG00000259494	MRPL46	15	88459477	88467390
ENSG00000127554	GFER	16	1984193	1987749
ENSG00000167112	TRUB2	9	128305159	128322447
ENSG00000151498	ACAD8	11	134253548	134265855
ENSG00000197157	SND1	7	127652194	128092609
ENSG00000138777	PPA2	4	105369077	105474067
ENSG00000165678	GHITM	10	84139482	84154841
ENSG00000164405	UQCRQ	5	132866630	132868847
ENSG00000125375	DMAC2L	14	50312324	50335558
ENSG00000105327	BBC3	19	47220822	47232766
ENSG00000135423	GLS2	12	56470944	56488414
ENSG00000169230	PRELID1	5	177303799	177306949
ENSG00000173085	COQ2	4	83261536	83284914
ENSG00000169599	NFU1	2	69396113	69437628
ENSG00000168288	MMADHC	2	149569637	149587778
ENSG00000178445	GLDC	9	6532467	6645729
ENSG00000100294	MCAT	22	43132209	43143398
ENSG00000115317	HTRA2	2	74529596	74533350
ENSG00000115419	GLS	2	190880821	190965552
ENSG00000069998	HDHD5	22	17137511	17165287
ENSG00000148672	GLUD1	10	87050202	87094843
ENSG00000288118	GLUD2	CHR_HG439_PATCH	120966945	120969429
ENSG00000182890	GLUD2	X	121047610	121050094
ENSG00000145020	AMT	3	49416778	49422685
ENSG00000125166	GOT2	16	58707131	58734342
ENSG00000115159	GPD2	2	156435290	156613735
ENSG00000162241	SLC25A45	11	65375192	65383701
ENSG00000176422	SPRYD4	12	56468578	56479708
ENSG00000257218	GATC	12	120446444	120463749
ENSG00000140107	SLC25A47	14	100323339	100330421
ENSG00000174109	C16orf91	16	1419752	1420756
ENSG00000274768	CISD3	CHR_HSCHR17_7_CTG4	38531022	38535831
ENSG00000277972	CISD3	17	38730341	38735605
ENSG00000224877	NDUFAF8	17	81239305	81241310
ENSG00000180011	PTGR3	18	75195113	75209139
ENSG00000181240	SLC25A41	19	6426037	6433779
ENSG00000181035	SLC25A42	19	19063994	19113030
ENSG00000196407	THEM5	1	151847101	151853712
ENSG00000162461	SLC25A34	1	15736258	15741392
ENSG00000174928	C3orf33	3	155762617	155806278
ENSG00000179152	TCAIM	3	44338119	44409451
ENSG00000156990	RPUSD3	3	9837849	9844602
ENSG00000163626	COX18	4	73052362	73069755
ENSG00000155970	MICU3	8	17027238	17122642
ENSG00000233276	GPX1	3	49357174	49358605
ENSG00000167468	GPX4	19	1103982	1106791
ENSG00000147586	MRPS28	8	79918717	80030289
ENSG00000183978	COA3	17	42795147	42798704
ENSG00000233813	MRPS18B	CHR_HSCHR6_MHC_DBB_CTG1	30607946	30616632
ENSG00000229861	MRPS18B	CHR_HSCHR6_MHC_MCF_CTG1	30696164	30704850
ENSG00000227420	MRPS18B	CHR_HSCHR6_MHC_COX_CTG1	30607552	30616238
ENSG00000203624	MRPS18B	CHR_HSCHR6_MHC_QBL_CTG1	30607204	30615890
ENSG00000226111	MRPS18B	CHR_HSCHR6_MHC_MANN_CTG1	30662345	30671031
ENSG00000223775	MRPS18B	CHR_HSCHR6_MHC_SSTO_CTG1	30609932	30618618
ENSG00000204568	MRPS18B	6	30617840	30626395
ENSG00000177646	ACAD9	3	128879596	128924003
ENSG00000198015	MRPL42	12	93467514	93516214
ENSG00000133315	MACROD1	11	63998558	64166113
ENSG00000172172	MRPL13	8	120380761	120445402
ENSG00000112110	MRPL18	6	159789812	159798436
ENSG00000123545	NDUFAF4	6	96889315	96897891
ENSG00000138382	METTL5	2	169810081	169824931
ENSG00000137547	MRPL15	8	54135241	54148514
ENSG00000075336	TIMM21	18	74148523	74160531
ENSG00000082515	MRPL22	5	154941073	154969411
ENSG00000151729	SLC25A4	4	185143266	185150382
ENSG00000120675	DNAJC15	13	43023203	43114213
ENSG00000005022	SLC25A5	X	119468422	119471396
ENSG00000132463	GRSF1	4	70815783	70839897
ENSG00000169100	SLC25A6	X	1386152	1392113
ENSG00000104687	GSR	8	30678066	30727846
ENSG00000100577	GSTZ1	14	77320996	77331597
ENSG00000184076	UQCR10	22	29767369	29770413
ENSG00000143774	GUK1	1	228139962	228148984
ENSG00000143811	PYCR2	1	225919877	225924340
ENSG00000278501	TIMM22	CHR_HSCHR17_3_CTG2	997117	1003671
ENSG00000277649	TIMM22	CHR_HSCHR17_2_CTG2	997117	1003671
ENSG00000177370	TIMM22	17	997129	1003671
ENSG00000284468	SLC25A24	CHR_HSCHR1_6_CTG3	108134010	108200843
ENSG00000085491	SLC25A24	1	108134043	108200849
ENSG00000132837	DMGDH	5	78997564	79236038
ENSG00000122687	MRM2	7	2234195	2242205
ENSG00000060971	ACAA1	3	38103129	38137242
ENSG00000072506	HSD17B10	X	53431258	53434370
ENSG00000063854	HAGH	16	1795620	1827157
ENSG00000084754	HADHA	2	26190635	26244672
ENSG00000138029	HADHB	2	26243170	26290465
ENSG00000138796	HADH	4	107989714	108035241
ENSG00000004961	HCCS	X	11111301	11123086
ENSG00000169567	HINT1	5	131155383	131224468
ENSG00000165283	STOML2	9	35099776	35103195
ENSG00000275176	ACACA	CHR_HSCHR17_7_CTG4	37086456	37411442
ENSG00000278540	ACACA	17	37084992	37406836
ENSG00000117305	HMGCL	1	23801885	23838620
ENSG00000134240	HMGCS2	1	119748002	119768905
ENSG00000164978	NUDT2	9	34329506	34343711
ENSG00000076555	ACACB	12	109116587	109268226
ENSG00000139428	MMAB	12	109553715	109573580
ENSG00000100823	APEX1	14	20455191	20457772
ENSG00000133835	HSD17B4	5	119452465	119637199
ENSG00000115361	ACADL	2	210187126	210225447
ENSG00000113013	HSPA9	5	138553756	138575675
ENSG00000144381	HSPD1	2	197486584	197516737
ENSG00000115541	HSPE1	2	197500140	197503449
ENSG00000110011	DNAJC4	11	64230278	64234286
ENSG00000204237	OXLD1	17	81665036	81666635
ENSG00000167862	MRPL58	17	75012670	75021261
ENSG00000185818	NAT8L	4	2059327	2069089
ENSG00000117054	ACADM	1	75724431	75787575
ENSG00000215009	ACSM4	12	7304072	7328719
ENSG00000119912	IDE	10	92451684	92574096
ENSG00000182054	IDH2	15	90083045	90102477
ENSG00000166411	IDH3A	15	78131498	78171945
ENSG00000277018	COX8C	CHR_HSCHR14_7_CTG1	93347191	93348356
ENSG00000187581	COX8C	14	93347182	93348356
ENSG00000101365	IDH3B	20	2658395	2664219
ENSG00000067829	IDH3G	X	153785766	153794512
ENSG00000067064	IDI1	10	1039152	1049119
ENSG00000275214	IFI27	CHR_HSCHR14_7_CTG1	94104836	94116698
ENSG00000165949	IFI27	14	94104836	94116695
ENSG00000177034	MTX3	5	79976716	79991262
ENSG00000238205	MPC1L	X	40623428	40624136
ENSG00000066813	ACSM2B	16	20536226	20576427
ENSG00000163864	NMNAT3	3	139560180	139678017
ENSG00000122971	ACADS	12	120725774	120740008
ENSG00000196177	ACADSB	10	123008979	123058290
ENSG00000072778	ACADVL	17	7217125	7225266
ENSG00000128928	IVD	15	40405485	40435947
ENSG00000197448	GSTK1	7	143244093	143270854
ENSG00000065427	KARS1	16	75627474	75648643
ENSG00000115286	NDUFS7	19	1383527	1395589
ENSG00000105518	TMEM205	19	11342776	11346518
ENSG00000180488	MIGA1	1	77779624	77879540
ENSG00000075239	ACAT1	11	108116695	108147603
ENSG00000004059	ARF5	7	127588386	127591700
ENSG00000081181	ARG2	14	67619920	67651708
ENSG00000117481	NSUN4	1	46340789	46365152
ENSG00000175536	LIPT2	11	74490519	74493724
ENSG00000196860	TOMM20L	14	58395928	58408702
ENSG00000168275	COA6	1	234373456	234385080
ENSG00000163170	BOLA3	2	74135400	74147912
ENSG00000250317	SMIM20	4	25861830	25929813
ENSG00000213965	NUDT19	19	32691821	32713792
ENSG00000111716	LDHB	12	21635342	21757857
ENSG00000168924	LETM1	4	1811479	1856156
ENSG00000005156	LIG3	17	34980512	35009743
ENSG00000125434	SLC25A35	17	8287763	8295400
ENSG00000273607	CHCHD10	CHR_HSCHR22_1_CTG7	23765834	23768443
ENSG00000250479	CHCHD10	22	23765834	23767972
ENSG00000164241	C5orf63	5	127045235	127073506
ENSG00000225228	MCCD1	CHR_HSCHR6_MHC_APD_CTG1	31595673	31597188
ENSG00000228662	MCCD1	CHR_HSCHR6_MHC_MCF_CTG1	31605067	31606582
